key,en-us,zh-cn,de-de,fr-fr,pt-br,ja-jp
language_code-ISO,en-US,zh-CN,de-DE,fr-FR,pt-BR,ja-JP
language_code-google,en,zh-CN,de,fr,pt,ja
language_name,English (en-US),简体中文 (zh-CN),Deutsch (de-DE),Français (fr-FR),Portuguese (pt-BR),日本語(ja-JP)
messagebox_title_warning,PRemoteM Warning,,,,,
messagebox_title_error,PRemoteM Error,,,,,
messagebox_title_info,PRemoteM Info,,,,,
OK,OK,,,,,
Exit,Exit,,,,,出口
Close,Close,,,,,近い
Add,Add,,,,,追加
Edit,Edit,,,,,編集
Save,Save,,,,,保存
Save as...,Save as...,,,,,名前を付けて保存...
Back,Back,,,,,戻る
Delete,Delete,,,,,消去
Cancel,Cancel,,,,,キャンセル
Select,Select,,,,,選択する
Explore to...,Explore to...,,Entdecken Sie ...,,,探索して...
Previous,Previous,,,,,前
Next,Next,,,,,次
Done,Done,,,,,終わり
Reset,Reset,,,,,リセット
Import,Import,,Importieren,,,輸入
Export,Export,,Export,,,書き出す
Name,Name,,Name,,,名前
File Name,File Name,,,,,ファイル名
Test,Test,,Prüfen,Test,,テスト
Reconnect,Reconnect,,,,,再接続
Dismiss,Dismiss,,,,,解散
Lock,Lock,,,,,ロック
Always on top,Always on top,,Immer oben,,,常にトップに
Close all,Close all,,,,,すべて閉じる
Rename,Rename,,,,,名前を変更
Connect,Connect,,,,,接続
Connect (New window),Connect (New window),,,,,接続（新しいウィンドウ）
Note,Note,,,,,ノート
Share,Share,,Teilen,Partager,Compartilhar,シェア
Copy,Copy,,Kopieren,Copie,cópia de,コピー
filter_mainwindow,Keywords or '#' + tag name,,,,,キーワードまたは「＃」+タグ名
Search (Ctrl+F),Search (Ctrl + F),,,,,検索（Ctrl + F）
hotkey_already_registered,Hot key already registered,,,,,ホットキーはすでに登録されています
hotkey_registered_fail,Failed to register the hot key,,,,,ホットキーの登録に失敗しました
string_permission_denied,Permission denied,,,,,アクセス拒否
All,All,,,,,全て
Protocol,Protocol,,,Protocole,,プロトコル
file_transmit_host_list_header_last_update,Last update,,,,,最後の更新
file_transmit_host_list_header_type,Type,,,Taper,,タイプ
file_transmit_host_list_header_size,Size,,,,,サイズ
file_transmit_host_message_preview_over_size,"This item is over 1 MB, are you sure you want to open it?",,,,,このアイテムは1MBを超えていますが、開いてもよろしいですか？
file_transmit_host_message_files_download_to,Please select a folder to save to,,,,,保存先のフォルダを選択してください
file_transmit_host_message_files_download_to_dir,Use this folder,,,,,このフォルダを使用する
file_transmit_host_message_select_files_to_upload,Please select files to upload,,,,,アップロードするファイルを選択してください
file_transmit_host_command_refresh,Refresh (F5),,,,,更新（F5）
file_transmit_host_command_create_folder,Create a folder,,,,,フォルダを作成する
file_transmit_host_command_upload,Upload (Ctrl + V),,,,,アップロード（Ctrl + V）
file_transmit_host_command_select_files_upload,Select files to upload,,,,,アップロードするファイルを選択します
file_transmit_host_command_select_folder_upload,Select a folder to upload,,,,,アップロードするフォルダを選択してください
file_transmit_host_command_delete,Delete (Del),,,,,削除（削除）
file_transmit_host_command_save_to,Save to... (Ctrl + S),,,,,保存先...（Ctrl + S）
file_transmit_host_warning_same_names_title,Replace or cancel,,,,,交換またはキャンセル
file_transmit_host_warning_same_names,The destination has {0} file(s) with the same name(s). Do you want to continue?,,,,,宛先に同じ名前の{0}ファイルがあります。続けたいですか？
host_reconecting_info,Reconnecting...,,,,,再接続しています...
Options,Options,,,Choix,,オプション
About,About,,,,,約
Toggle Cards/List,Toggle Cards/List,,,,,カード/リストの切り替え
system_options_general_title,General,,,,,全般的
Language,Language,,,,,言語
Startup,Startup,,,,,起動
system_options_general_start_when_win_login,Run automatically at OS startup,,,,,OSの起動時に自動的に実行
system_options_general_start_minimized,Start minimized,,,,,最小化を開始
Confirm before closing,Confirm before closing,,,,,終了する前に確認してください
system_options_general_log_file_path,Log file,,,,,ログファイル
system_options_quick_description,"Quick connect allows you to open up a quick connection bar via a hot key, then you can type the keyword and start connection by pressing the Enter key",,,,,クイック接続を使用すると、ホットキーを介してクイック接続バーを開くことができます。次に、キーワードを入力し、Enterキーを押して接続を開始できます。
system_options_quick_match_providers,Keyword-Matchers,,Keyword-Matcher,,,キーワードマッチャー
Launcher,Launcher,,,,,ランチャー
system_options_quick_launcher_enable,Enable the launcher,,,,,ランチャーを有効にする
system_options_quick_launcher_hotkey,Hot key,,,,,ホットキー
system_options_data_security_title,Data & Security,,,,,データセキュリティ
system_options_data_security_database,Database,,,,,データベース
system_options_data_security_database_migrate,Migrate,,,,,移行する
system_options_data_security_rsa_title,RSA encryption,,,,,RSA暗号化
system_options_data_security_rsa_encrypt,Encrypt,,,,,暗号化
system_options_data_security_rsa_encrypt_dialog_title,Load an old key or select a path to save your current key,,,,,古いキーをロードするか、パスを選択して現在のキーを保存します
system_options_data_security_rsa_decrypt,Decrypt,,,,,復号化
system_options_data_security_rsa_public_key,Public key,,,,,公開鍵
system_options_data_security_rsa_private_key_path,Private key path,,,,,秘密鍵のパス
system_options_data_security_export_dialog_title,Caution: Your data will be saved unencrypted!,,,,,注意：データは暗号化されずに保存されます！
system_options_data_security_info_data_processing,Processing data. Do not close the app!,,,,,データを処理しています。アプリを閉じないでください！
system_options_data_security_info_encrypt_private_key_warning,Protect your private key carefully! It's the only key that can decrypt your data!,,,,,秘密鍵は慎重に保護してください。それはあなたのデータを解読できる唯一の鍵です！
system_options_data_security_info_clear_rsa,Would you like to clear RSA encryption?,,,,,RSA暗号化をクリアしますか？
system_options_data_security_error_can_not_open,Database: Permission denied for reading or the file is not a database or the file is an encrypted database!,,,,,データベース：読み取りの許可が拒否されたか、ファイルがデータベースではないか、ファイルが暗号化されたデータベースです！
string_database_error_permission_denied,Database: Permission denied for reading! Please check your password of db or the file occupation.,,,,,データベース：読み取りの許可が拒否されました！ dbのパスワードまたはファイルの職業を確認してください。
string_database_error_rsa_private_key_format_error,Database: RSA private key is in an invalid format! Please select the correct key.,,,,,データベース：RSA秘密鍵の形式が無効です！正しいキーを選択してください。
string_database_error_rsa_private_key_not_found,Database: Can't find the RSA private key! Please select the correct key.,,,,,データベース：RSA秘密鍵が見つかりません！正しいキーを選択してください。
string_database_error_rsa_private_key_not_match,Database: RSA private key does not match the public key! Please select the correct key.,,,,,データベース：RSA秘密鍵が公開鍵と一致しません！正しいキーを選択してください。
Theme,Theme,,,,,テーマ
Color,Color,,,,,色
Color1,Color1,,,,,Color1
Color2,Color2,,,,,Color2
Background,Background,,,,,バックグラウンド
Normal,Normal,,Normal,Normal,Normal,普通
Lighter,Lighter,,,,,ライター
Darker,Darker,,,,,暗い
Font,Font,,,,,フォント
Font size,Font size,,,,,フォントサイズ
Themes,Themes,,,,,テーマ
server_card_operate_duplicate,Duplicate,,,,,複製
server_card_operate_copy_address,Copy hostname to clipboard,,,,,ホスト名をクリップボードにコピー
server_card_operate_copy_username,Copy username to clipboard,,,,,ユーザー名をクリップボードにコピー
server_card_operate_copy_password,Copy password to clipboard,,,,,パスワードをクリップボードにコピーする
confirm_to_delete,Are you sure you want to delete?,,,,,消去してもよろしいですか？
confirm_to_delete_selected,Are you sure you want to delete all selected?,,,,,選択したものをすべて削除してもよろしいですか？
import_server_dialog_title,Select a file,,,,,ファイルを選択
import_from_json,from json,,,,,jsonから
import_from_csv,from mRemoteNG csv,,,,,mRemoteNGcsvから
import_done_0_items_added,"Imported successfully, {0} item(s) added.",,,,,正常にインポートされ、{0}アイテムが追加されました。
import_failure_with_data_format_error,Error data format!,,,,,エラーデータ形式！
